# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total acceleration (m/s²);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Air pressure (mbar)
0.9;14.71;30.05;24.01;27.34;1.33e-6;9.2;0;992.8
0.92;15.15;30.4;24.11;27.28;-9.62e-7;13.04;0;992.75
0.93;15.63;30.78;24.25;27.2;6.73e-6;16.8;-8.6e-5;992.69
0.95;16.18;31.22;24.43;27.11;2.77e-6;20.44;0;992.63
0.97;16.88;31.76;24.61;27.01;1.11e-6;24.04;0;992.55
1;17.77;32.44;24.85;26.89;-1.31e-5;27.31;-0.01;992.45
1.04;19.13;33.48;25.3;26.66;-4.37e-5;-27.8;-0.01;992.3
1.09;20.84;34.75;25.6;26.49;3.05e-5;-21.32;0;992.1
1.11;21.66;35.35;25.68;26.44;9.37e-6;-17.05;0;992.01
1.13;22.39;35.88;25.71;26.4;-2.33e-6;-12.92;-3.13e-4;991.93
1.15;23.09;36.38;25.73;26.37;4.29e-6;-8.87;0;991.85
1.17;23.78;36.86;25.75;26.34;2.63e-6;-4.65;-5.34e-4;991.77
1.19;24.41;37.3;25.75;26.31;3.71e-6;-0.54;0;991.7
1.21;25.01;37.72;25.73;26.29;2.62e-6;3.51;-9.98e-5;991.63
1.22;25.63;38.13;25.68;26.28;0;7.4;0;991.56
1.24;26.28;38.57;25.61;26.27;3.3e-6;11.22;0;991.48
1.26;27.02;39.05;25.52;26.26;9.89e-6;14.91;8.03e-4;991.4
1.28;27.87;39.61;25.4;26.26;1.28e-5;18.61;-2.19e-5;991.3
1.31;28.92;40.27;25.2;26.27;2.2e-6;21.95;0;991.19
1.35;30.52;41.25;24.81;26.33;2.54e-6;-23.27;0;991
1.4;32.61;42.48;24.42;26.36;-9.95e-5;-19.92;0.01;990.77
1.44;34.37;43.48;24.14;26.37;1.64e-5;-15.26;0;990.56
1.47;35.7;44.21;23.96;26.37;1.46e-6;-11.02;0;990.41
1.49;36.87;44.83;23.84;26.35;3.97e-6;-6.76;0;990.28
1.52;37.98;45.42;23.8;26.31;1.92e-6;-2.81;-9.83e-4;990.16
1.54;39.16;46.03;23.81;26.23;-1.85e-6;0.85;-3.89e-4;990.02
1.57;40.62;46.78;23.85;26.13;8.33e-6;4.21;0;989.86
1.62;42.74;47.85;24;25.94;2.18e-6;-6.59;-0.01;989.61
1.67;45.16;49.06;24.13;25.76;7.99e-7;-2.4;0;989.34
1.7;46.87;49.89;24.11;25.68;7.11e-7;1.44;-0.01;989.15
1.74;48.49;50.66;23.9;25.54;-5E-06;5.16;0;988.96
1.78;50.49;51.59;23.44;25.19;-2.17e-5;8.35;-0.01;988.73
1.83;53.1;52.73;22.71;24.79;8.83e-7;-11.23;-0.27;988.44
1.88;55.77;53.81;21.35;23.86;6.69e-5;-7.67;-0.03;988.13
1.91;57.42;54.42;19.99;22.64;-9.57e-6;-2.93;0;987.95
1.93;58.76;54.89;19.01;21.51;3.57e-7;0.63;-0.01;987.79
1.96;60.5;55.43;17.02;19.23;-3.75e-6;3.47;0;987.6
2.01;63.14;56.08;13.72;15.5;-8.11e-6;-4.46;-0.01;987.3
2.06;65.95;56.51;8.74;10.11;1.53e-5;-1.76;-0.02;986.98
2.1;68.31;56.68;3.96;5.18;-1.69e-5;3.14;-0.02;986.71
2.13;70.03;56.68;0.02;2.6;3.4e-5;6.17;-0.02;986.51
2.18;72.62;56.49;-4.13;4.54;-7.3e-6;-6.43;-0.06;986.22
2.23;75.43;56.03;-9.21;9.21;7.87e-5;-4.97;-0.08;985.9
2.24;76.26;55.84;-12.99;13.04;8.8e-6;-5.16;-6.93e-4;985.81
2.26;77.49;55.53;-13.89;13.94;1.72e-6;-5.19;0.01;985.67
2.3;79.32;55.07;-13.92;13.95;5.19e-6;-3.54;0;985.46
2.35;82.04;54.39;-13.79;13.82;1.91e-5;-0.52;-0.01;985.15
2.4;84.74;53.7;-13.5;13.59;1.19e-5;0.55;0.02;984.84
2.45;87.41;53.03;-13.43;13.51;1.28e-5;2.63;-0.02;984.54
2.5;90.04;52.36;-13.33;13.41;2.19e-5;4.46;-0.02;984.24
2.55;92.64;51.7;-13.3;13.36;2.24e-5;5.67;-0.13;983.95
2.6;95.21;51.03;-13.21;13.27;8.45e-6;6.23;-0.16;983.65
2.65;97.75;50.37;-13.28;13.3;3.44e-5;-4.83;-0.03;983.37
2.7;100.25;49.71;-13.13;13.16;1.65e-5;-2.41;-0.01;983.08
2.75;102.72;49.06;-13.01;13.05;1.12e-5;-1.24;0;982.8
2.8;105.15;48.41;-13.03;13.05;1.33e-5;0.97;-0.01;982.52
2.85;107.56;47.76;-12.74;12.8;6.36e-6;-1.77;-0.01;982.25
2.9;109.93;47.13;-12.67;12.73;1.38e-5;-0.1;0;981.98
2.95;112.27;46.5;-12.51;12.6;1.41e-5;2.3;-0.01;981.72
3;114.58;45.87;-12.53;12.58;1.07e-6;4.53;-0.02;981.45
3.05;116.86;45.25;-12.45;12.5;4.08e-5;5.67;-0.02;981.19
3.1;119.1;44.62;-12.48;12.51;-7.46e-6;-5.78;-6.91e-4;980.94
3.15;121.32;44;-12.51;12.52;-1.13e-5;-3.39;0.01;980.69
3.2;123.5;43.38;-12.41;12.43;1.63e-5;-0.27;0;980.44
3.25;125.66;42.76;-12.19;12.23;7.9e-6;-0.77;-0.01;980.19
3.3;127.78;42.16;-11.94;12.04;1.33e-5;2.07;0;979.95
3.34;129.5;41.67;-11.89;11.99;1.7e-5;5.98;-0.01;979.76
3.38;131.33;41.14;-11.98;12.02;1.7e-5;8.84;-0.02;979.55
3.43;133.37;40.54;-11.99;12.02;-6.1e-6;-8.66;-0.38;979.32
3.48;135.38;39.94;-11.96;11.99;-2.11e-5;-8.56;-0.07;979.09
3.53;137.37;39.35;-11.95;11.97;1.6e-5;-7.45;-0.03;978.86
3.58;139.32;38.75;-11.91;11.92;9.04e-6;-5.28;-0.01;978.64
3.63;141.24;38.16;-11.81;11.83;1.37e-5;-3.69;-0.01;978.42
3.68;143.13;37.57;-11.8;11.81;2.25e-6;-2.63;0;978.21
3.73;145;36.98;-11.73;11.74;9.76e-7;0.11;0;978
3.78;146.83;36.39;-11.66;11.68;8.56e-6;1.29;-0.01;977.79
3.83;148.64;35.81;-11.52;11.55;1.77e-5;2.92;-0.17;977.58
3.88;150.41;35.24;-11.39;11.42;1.12e-5;-1.71;-0.01;977.38
3.93;152.16;34.67;-11.19;11.26;5.67e-6;0.62;0;977.18
3.98;153.72;34.17;-11.09;11.17;1.29e-5;5.79;-0.01;977.01
4.01;154.93;33.78;-11.09;11.16;2.79e-6;9.51;-0.01;976.87
4.06;156.35;33.31;-11.16;11.2;2.18e-5;12.53;-0.01;976.71
4.11;158;32.75;-11.23;11.25;-2.37e-6;13.98;-0.09;976.52
4.16;159.62;32.18;-11.29;11.3;2.24e-5;-13.21;-0.03;976.34
4.21;161.22;31.62;-11.22;11.24;6.39e-6;-11.88;-0.04;976.15
4.26;162.79;31.06;-11.12;11.14;-7.28e-6;11.46;-0.89;975.98
4.31;164.33;30.5;-11.16;11.17;1.82e-5;-10.51;-0.01;975.8
4.36;165.84;29.95;-11.11;11.12;-8.15e-6;-9.22;0;975.63
4.41;167.32;29.39;-11.09;11.1;4.51e-6;-7.72;0.01;975.46
4.46;168.78;28.84;-11.03;11.04;-5.53e-6;-6.31;0.02;975.3
4.51;170.2;28.29;-10.94;10.96;5.58e-6;-5.3;0.06;975.13
4.56;171.61;27.75;-10.73;10.77;6.69e-7;6.61;0.01;974.97
4.61;172.98;27.21;-10.7;10.73;8.23e-6;8.97;5.26e-4;974.82
4.66;174.33;26.68;-10.75;10.77;2.7e-5;10.55;0;974.67
4.71;175.65;26.14;-10.84;10.85;3.04e-5;-10.15;0;974.52
4.76;176.94;25.6;-10.74;10.75;4.23e-5;-9.6;-0.97;974.37
4.81;178.21;25.06;-10.65;10.67;-1.66e-5;9.94;-0.05;974.22
4.86;179.45;24.53;-10.56;10.59;2.6e-5;11.32;-0.03;974.08
4.91;180.66;24;-10.66;10.67;2.01e-6;-11.54;-0.09;973.95
4.96;181.85;23.47;-10.54;10.56;-8.38e-7;11.93;-0.03;973.81
5.01;183.01;22.95;-10.49;10.51;1.89e-5;12.97;-0.01;973.68
5.06;184.14;22.42;-10.51;10.52;2.42e-5;13.67;0.01;973.55
5.11;185.25;21.9;-10.52;10.53;-1.61e-5;13.82;1.23;973.42
5.16;186.33;21.37;-10.56;10.57;9.9e-6;-13.12;0.04;973.3
5.21;187.39;20.84;-10.46;10.47;2.56e-6;12.67;0.69;973.18
5.26;188.41;20.32;-10.41;10.42;-1.56e-5;12.73;0.17;973.07
5.31;189.42;19.8;-10.37;10.38;3.94e-5;13.12;0.1;972.95
5.36;190.4;19.28;-10.39;10.4;9.9e-6;-13.02;0.38;972.84
5.41;191.35;18.77;-10.28;10.3;5.96e-6;13.49;0.09;972.73
5.46;192.27;18.25;-10.35;10.36;8.93e-7;-13.52;0.36;972.63
5.51;193.17;17.73;-10.27;10.28;1.07e-5;13.53;0.19;972.52
5.56;194.05;17.22;-10.16;10.18;-1.41e-6;14.34;0.05;972.43
5.61;194.89;16.72;-10.07;10.09;2.77e-5;16.09;0.02;972.33
5.66;195.72;16.21;-10.05;10.07;1.5e-5;18;0.02;972.24
5.71;196.52;15.71;-9.99;10.02;-1.72e-5;20.15;0;972.14
5.76;197.29;15.21;-10.03;10.05;1.97e-5;21.88;-0.01;972.06
5.81;198.04;14.71;-9.95;9.97;1.27e-5;23.81;-0.03;971.97
5.86;198.76;14.22;-9.99;10.01;2.88e-5;25.54;-0.04;971.89
5.91;199.46;13.71;-10.07;10.08;1.18e-5;26.41;-0.09;971.81
5.96;200.13;13.21;-10.15;10.16;-1.41e-5;-26.25;-0.32;971.73
6.01;200.78;12.7;-10.24;10.25;1.31e-5;-24.94;-0.04;971.66
6.06;201.4;12.19;-10.21;10.22;1.7e-5;-23.32;-0.05;971.59
6.11;202;11.68;-10.17;10.17;-9.64e-6;-21.98;-0.06;971.52
6.16;202.57;11.17;-10.15;10.15;2.18e-5;-20.72;-0.04;971.46
6.21;203.11;10.66;-10.03;10.04;3.68e-6;20.19;-0.14;971.4
6.26;203.64;10.16;-10.02;10.03;2.54e-5;19.95;-0.04;971.34
6.31;204.13;9.66;-9.93;9.94;1.69e-5;20.13;0.01;971.28
6.36;204.6;9.17;-9.87;9.88;4.23e-6;20.76;0.02;971.23
6.41;205.05;8.68;-9.8;9.81;1.26e-6;21.84;0.02;971.18
6.46;205.47;8.19;-9.79;9.8;6.71e-6;23.02;0.03;971.13
6.51;205.87;7.7;-9.72;9.73;-1.02e-6;24.48;0.02;971.08
6.56;206.24;7.21;-9.71;9.72;2.12e-5;26;0.02;971.04
6.61;206.59;6.73;-9.67;9.68;1.17e-5;27.57;0.02;971
6.66;206.91;6.25;-9.66;9.67;-1.34e-5;29.1;0.02;970.96
6.71;207.21;5.77;-9.6;9.61;-1.98e-5;30.76;0.01;970.93
6.76;207.49;5.29;-9.59;9.6;3.74e-5;32.48;0.01;970.9
6.81;207.74;4.81;-9.63;9.63;2.16e-5;33.93;0.02;970.87
6.86;207.97;4.32;-9.69;9.69;3.78e-5;34.83;0.03;970.84
6.91;208.17;3.84;-9.69;9.69;-1.2e-5;35.42;0.03;970.82
6.96;208.35;3.35;-9.67;9.68;3.33e-5;35.97;0.02;970.8
7.01;208.51;2.87;-9.67;9.67;3.11e-5;36.48;0.02;970.78
7.06;208.64;2.39;-9.66;9.66;-2.84e-6;36.92;0.01;970.77
7.11;208.75;1.9;-9.64;9.65;4.62e-6;37.4;-0.01;970.76
7.16;208.83;1.42;-9.66;9.67;8.97e-6;37.72;0;970.75
7.21;208.89;0.94;-9.66;9.66;1.18e-5;37.95;0;970.74
7.24;208.92;0.59;-9.65;9.65;-6.68e-6;38.1;-0.01;970.74
7.24;208.92;0.56;-9.65;9.65;6.54e-6;38.11;-0.01;970.74
7.25;208.92;0.55;-10.33;17.11;NaN;NaN;NaN;970.74
7.28;208.93;0.15;-10.32;17.08;NaN;NaN;NaN;970.74
7.33;208.93;-0.3;-9.94;16.25;NaN;NaN;NaN;970.73
7.38;208.9;-0.79;-9.54;15.39;NaN;NaN;NaN;970.73
7.43;208.85;-1.27;-9.13;14.42;NaN;NaN;NaN;970.74
7.48;208.78;-1.66;-8.78;13.34;NaN;NaN;NaN;970.74
7.54;208.67;-2.16;-8.51;12.64;NaN;NaN;NaN;970.75
7.6;208.51;-2.7;-8.18;11.81;NaN;NaN;NaN;970.76
7.72;208.13;-3.64;-7.81;11.26;NaN;NaN;NaN;970.78
7.8;207.81;-4.24;-7.32;9.94;NaN;NaN;NaN;970.83
7.92;207.27;-5.05;-7.01;9.29;NaN;NaN;NaN;970.86
8.1;206.28;-6.19;-6.51;8.62;NaN;NaN;NaN;970.92
8.23;205.43;-6.97;-5.99;7.45;NaN;NaN;NaN;971.03
8.44;203.84;-8.12;-5.46;6.83;NaN;NaN;NaN;971.13
8.65;202.02;-9.07;-4.49;5.95;NaN;NaN;NaN;971.31
8.87;199.89;-9.9;-3.68;5.03;NaN;NaN;NaN;971.52
9.12;197.36;-10.58;-2.78;4.29;NaN;NaN;NaN;971.76
9.36;194.73;-11.11;-2.15;3.27;NaN;NaN;NaN;972.05
9.7;190.92;-11.62;-1.53;2.6;NaN;NaN;NaN;972.35
10.03;187.05;-11.93;-0.93;1.58;NaN;NaN;NaN;972.78
10.53;181.03;-12.16;-0.47;1.31;NaN;NaN;NaN;973.22
11.03;174.94;-12.22;-0.12;1.02;NaN;NaN;NaN;973.9
11.53;168.82;-12.24;-0.03;0.88;NaN;NaN;NaN;974.6
12.03;162.7;-12.25;-0.01;0.78;NaN;NaN;NaN;975.29
12.53;156.57;-12.26;-0.02;0.39;NaN;NaN;NaN;975.99
13.03;150.44;-12.26;-8.53e-5;0.34;NaN;NaN;NaN;976.68
13.53;144.32;-12.25;0;0.24;NaN;NaN;NaN;977.38
14.03;138.19;-12.25;0;0.07;NaN;NaN;NaN;978.07
14.53;132.07;-12.25;0.01;0.11;NaN;NaN;NaN;978.77
15.03;125.94;-12.25;0.01;0.06;NaN;NaN;NaN;979.47
15.53;119.82;-12.24;0.01;0.3;NaN;NaN;NaN;980.16
16.03;113.7;-12.24;0.01;0.3;NaN;NaN;NaN;980.86
16.53;107.58;-12.24;0;0.04;NaN;NaN;NaN;981.55
17.03;101.47;-12.23;0.01;0.14;NaN;NaN;NaN;982.25
17.53;95.35;-12.23;0.01;0.03;NaN;NaN;NaN;982.94
18.03;89.24;-12.22;0.03;0.61;NaN;NaN;NaN;983.64
18.53;83.13;-12.22;-0.01;0.05;NaN;NaN;NaN;984.33
19.03;77.02;-12.22;0.01;0.3;NaN;NaN;NaN;985.03
19.53;70.92;-12.21;0.01;0.35;NaN;NaN;NaN;985.72
20.03;64.81;-12.21;9.78e-4;0.04;NaN;NaN;NaN;986.41
20.53;58.71;-12.21;0.01;0.01;NaN;NaN;NaN;987.11
21.03;52.6;-12.2;0.02;0.47;NaN;NaN;NaN;987.8
21.53;46.5;-12.2;0;0.01;NaN;NaN;NaN;988.49
22.03;40.41;-12.2;0.01;0.32;NaN;NaN;NaN;989.19
22.53;34.31;-12.19;0.01;0.3;NaN;NaN;NaN;989.88
23.03;28.21;-12.19;0;0.23;NaN;NaN;NaN;990.57
23.53;22.12;-12.19;0;0.06;NaN;NaN;NaN;991.26
24.03;16.03;-12.18;0.01;0.15;NaN;NaN;NaN;991.96
24.53;9.94;-12.18;0.01;0.22;NaN;NaN;NaN;992.65
25.03;3.85;-12.18;0.01;0.13;NaN;NaN;NaN;993.34
25.34;0;-12.17;0.02;0.51;NaN;NaN;NaN;994.03
